id,value
entertainment,
entertainment.Buy,775.0
entertainment.Decided,775.0
entertainment.Homeless,835.0
entertainment.Incredible,744.0
entertainment.Like,1867.0
entertainment.Looks,2099.0
entertainment.Man,942.0
entertainment.Meal,775.0
entertainment.One,1117.0
entertainment.Stunning,952.0
fashion,
fashion.American,418.0
fashion.Angelina,562.0
fashion.Designed,309.0
fashion.Jeans,311.0
fashion.Jolie,560.0
fashion.Leather,331.0
fashion.Leggings,307.0
fashion.Love,306.0
fashion.New,318.0
fashion.Replace,309.0
finance,
finance.Brilliant,684.0
finance.Earlier,398.0
finance.Knew,398.0
finance.Mortgage,624.0
finance.Paying,531.0
finance.Residents,454.0
finance.Shark,659.0
finance.Tank,658.0
finance.Tip,597.0
finance.Wish,418.0
home,
home.Best,257.0
home.Cleaning,120.0
home.Furniture,127.0
home.Going,118.0
home.Heard,201.0
home.Know,119.0
home.Never,206.0
home.See,117.0
home.Site,234.0
home.Vintage,201.0
lifestyle,
lifestyle.Account,442.0
lifestyle.Brace,746.0
lifestyle.Irish,707.0
lifestyle.Last,797.0
lifestyle.Name,478.0
lifestyle.Names,705.0
lifestyle.One,873.0
lifestyle.People,738.0
lifestyle.Seconds,742.0
lifestyle.Types,733.0
