id,value
entertainment,
entertainment.Homeless,318.0
entertainment.Incredible,327.0
entertainment.Like,924.0
entertainment.Looks,955.0
entertainment.Losing,370.0
entertainment.Man,419.0
entertainment.Mom,326.0
entertainment.One,370.0
entertainment.Stunning,423.0
entertainment.Today,352.0
finance,
finance.Brilliant,261.0
finance.Debt,89.0
finance.Mortgage,226.0
finance.Paying,171.0
finance.People,120.0
finance.Ppi,80.0
finance.Shark,199.0
finance.Tank,198.0
finance.Tip,213.0
finance.Way,111.0
health,
health.Cost,193.0
health.Dental,188.0
health.Dentist,98.0
health.Eye,39.0
health.Implants,188.0
health.Information,98.0
health.Laser,39.0
health.New,113.0
health.Pricing,98.0
health.View,98.0
home,
home.Best,133.0
home.Crazy,75.0
home.First,52.0
home.Going,79.0
home.Heard,84.0
home.Know,52.0
home.Never,86.0
home.Site,85.0
home.Thinking,53.0
home.Vintage,84.0
lifestyle,
lifestyle.Account,329.0
lifestyle.Brace,265.0
lifestyle.Cancelling,328.0
lifestyle.Enter,208.0
lifestyle.Millions,260.0
lifestyle.Netflix,329.0
lifestyle.New,232.0
lifestyle.People,448.0
lifestyle.Seconds,264.0
lifestyle.Site,262.0
