id,value
entertainment,
entertainment.Buy,397.0
entertainment.Decided,397.0
entertainment.Homeless,403.0
entertainment.Like,763.0
entertainment.Looks,784.0
entertainment.Man,487.0
entertainment.Meal,397.0
entertainment.One,443.0
entertainment.Stunning,390.0
entertainment.Today,329.0
finance,
finance.Brilliant,243.0
finance.Debt,74.0
finance.Mortgage,202.0
finance.Paying,158.0
finance.People,104.0
finance.Ppi,78.0
finance.Shark,216.0
finance.Tank,215.0
finance.Tip,179.0
finance.Way,108.0
home,
home.Best,101.0
home.Crazy,69.0
home.Ever,55.0
home.First,48.0
home.Flashlight,57.0
home.Going,61.0
home.Like,56.0
home.Read,48.0
home.Selling,56.0
home.Thinking,48.0
lifestyle,
lifestyle.Account,289.0
lifestyle.Brace,294.0
lifestyle.Cancelling,288.0
lifestyle.Enter,226.0
lifestyle.Millions,227.0
lifestyle.Netflix,289.0
lifestyle.New,199.0
lifestyle.People,374.0
lifestyle.Seconds,294.0
lifestyle.Site,230.0
tech,
tech.Best,69.0
tech.Crazy,95.0
tech.Device,138.0
tech.Ever,69.0
tech.Iot,60.0
tech.Learning,76.0
tech.Like,96.0
tech.Selling,96.0
tech.Track,57.0
tech.Tracking,90.0
