id,value
education,
education.Employers,77.0
education.Iq,265.0
education.Language,102.0
education.Learn,88.0
education.Looking,77.0
education.Melania,252.0
education.Pretty,104.0
education.Skills,77.0
education.Top,77.0
education.Unnerving,252.0
entertainment,
entertainment.Boo,309.0
entertainment.Honey,309.0
entertainment.Incredible,595.0
entertainment.Like,1118.0
entertainment.Looks,1153.0
entertainment.Losing,357.0
entertainment.Model,308.0
entertainment.Mom,312.0
entertainment.Stunning,568.0
entertainment.Today,525.0
finance,
finance.Abandoned,104.0
finance.Base,104.0
finance.Brilliant,340.0
finance.Leases,104.0
finance.Mortgage,307.0
finance.Paying,275.0
finance.People,115.0
finance.Shark,283.0
finance.Tank,283.0
finance.Tip,283.0
food,
food.Cheaper,129.0
food.Coffee,63.0
food.Foods,92.0
food.Fridge,77.0
food.Local,131.0
food.Meal,138.0
food.Never,81.0
food.Put,77.0
food.Service,135.0
food.Store,130.0
lifestyle,
lifestyle.Account,243.0
lifestyle.Brace,393.0
lifestyle.Cancelling,243.0
lifestyle.Enter,302.0
lifestyle.Millions,171.0
lifestyle.Netflix,245.0
lifestyle.New,149.0
lifestyle.People,271.0
lifestyle.Seconds,392.0
lifestyle.Site,173.0
