id,value
beauty,
beauty.Aligners,167.0
beauty.Buying,156.0
beauty.Eyes,160.0
beauty.Invisible,181.0
beauty.Online,156.0
beauty.People,316.0
beauty.Reasons,156.0
beauty.Striking,160.0
beauty.Women,89.0
beauty.World,171.0
entertainment,
entertainment.Dey,292.0
entertainment.George,207.0
entertainment.Gorgeous,243.0
entertainment.Incredible,815.0
entertainment.Like,1228.0
entertainment.Looks,1259.0
entertainment.Losing,257.0
entertainment.Stunning,719.0
entertainment.Susan,315.0
entertainment.Today,715.0
finance,
finance.Abandoned,115.0
finance.Acre,115.0
finance.Apple,115.0
finance.Brilliant,250.0
finance.Mortgage,251.0
finance.Paying,221.0
finance.Quietly,115.0
finance.Shark,226.0
finance.Tank,225.0
finance.Tip,231.0
home,
home.Best,73.0
home.Diy,93.0
home.Europe,89.0
home.Furniture,78.0
home.Hot,89.0
home.Kitchen,97.0
home.Retailers,70.0
home.Right,89.0
home.See,73.0
home.Store,70.0
lifestyle,
lifestyle.Account,179.0
lifestyle.Brace,450.0
lifestyle.Cancelling,179.0
lifestyle.Enter,292.0
lifestyle.Name,181.0
lifestyle.Netflix,183.0
lifestyle.People,204.0
lifestyle.Seconds,451.0
lifestyle.Type,175.0
lifestyle.Wait,173.0
