id,value
beauty,
beauty.Hair,218.0
beauty.Hairstyles,154.0
beauty.Know,293.0
beauty.Look,161.0
beauty.Makeup,296.0
beauty.New,165.0
beauty.Older,293.0
beauty.Tips,291.0
beauty.Women,296.0
beauty.Years,153.0
entertainment,
entertainment.Boo,1226.0
entertainment.Honey,1224.0
entertainment.Incredible,1179.0
entertainment.Like,2776.0
entertainment.Looks,3024.0
entertainment.Losing,1457.0
entertainment.Model,1240.0
entertainment.Mom,1211.0
entertainment.Stunning,1214.0
entertainment.Today,633.0
fashion,
fashion.Affordable,199.0
fashion.American,357.0
fashion.Denim,262.0
fashion.Designed,277.0
fashion.Jeans,279.0
fashion.Leggings,272.0
fashion.New,250.0
fashion.Replace,277.0
fashion.Shoe,198.0
fashion.Travel,201.0
finance,
finance.Advice,330.0
finance.Brilliant,1029.0
finance.Credit,242.0
finance.Debt,558.0
finance.Mortgage,776.0
finance.Paying,711.0
finance.People,322.0
finance.Shark,1045.0
finance.Tank,1043.0
finance.Tip,743.0
lifestyle,
lifestyle.Brace,1201.0
lifestyle.Enter,691.0
lifestyle.Irish,556.0
lifestyle.Last,924.0
lifestyle.Name,877.0
lifestyle.Names,590.0
lifestyle.One,972.0
lifestyle.Seconds,1197.0
lifestyle.Type,534.0
lifestyle.Types,699.0
