id,value
business,
business.Due,188.0
business.Expenses,203.0
business.Living,188.0
business.Radical,61.0
business.Retire,223.0
business.Solution,61.0
business.States,203.0
business.Taxes,204.0
business.Us,197.0
business.Worst,204.0
entertainment,
entertainment.Buy,550.0
entertainment.Decided,550.0
entertainment.Homeless,564.0
entertainment.Like,1178.0
entertainment.Looks,1248.0
entertainment.Losing,592.0
entertainment.Man,650.0
entertainment.Meal,550.0
entertainment.Mom,523.0
entertainment.One,661.0
finance,
finance.Brilliant,415.0
finance.Credit,95.0
finance.Debt,142.0
finance.Mortgage,411.0
finance.Paying,307.0
finance.People,131.0
finance.Shark,366.0
finance.Tank,366.0
finance.Tip,386.0
finance.Way,135.0
food,
food.Actually,173.0
food.Cheaper,118.0
food.Important,173.0
food.Least,173.0
food.Local,122.0
food.Meal,127.0
food.Pretty,173.0
food.Service,121.0
food.Sexy,173.0
food.Store,120.0
lifestyle,
lifestyle.Account,298.0
lifestyle.Amy,195.0
lifestyle.Brace,312.0
lifestyle.Cancelling,294.0
lifestyle.Enter,252.0
lifestyle.Millions,220.0
lifestyle.Netflix,294.0
lifestyle.People,456.0
lifestyle.Seconds,311.0
lifestyle.Site,222.0
