id,value
entertainment,
entertainment.Actually,12134.0
entertainment.Happened,26535.0
entertainment.Like,14719.0
entertainment.Look,53248.0
entertainment.Looks,18010.0
entertainment.Mesmerizing,25793.0
entertainment.New,27178.0
entertainment.Police,13235.0
entertainment.Rich,13126.0
entertainment.Steven,12970.0
finance,
finance.Big,3429.0
finance.Born,3229.0
finance.Could,2117.0
finance.Getting,1988.0
finance.Home,2926.0
finance.Homeowners,2799.0
finance.New,3745.0
finance.Pay,2151.0
finance.Surprise,2911.0
finance.Win,3688.0
health,
health.Benefits,2889.0
health.Changing,2876.0
health.Every,4200.0
health.Fatigue,2836.0
health.Fix,2836.0
health.Heart,4574.0
health.Life,2890.0
health.Put,3122.0
health.Stages,4550.0
health.Watch,2819.0
home,
home.Actually,3013.0
home.Buy,3094.0
home.Claim,2986.0
home.Craftsman,2885.0
home.Furniture,3273.0
home.Neighbors,2835.0
home.See,3482.0
home.Site,5226.0
home.Think,2830.0
home.Tools,2986.0
sports,
sports.Allen,1947.0
sports.Bombshell,1752.0
sports.Colin,2721.0
sports.Court,1924.0
sports.Divorce,1924.0
sports.Hold,1765.0
sports.Longer,1765.0
sports.Mom,2721.0
sports.Tongue,1765.0
sports.Wife,1764.0
