id,value
entertainment,
entertainment.Angelina,7969.0
entertainment.Disastrous,12953.0
entertainment.Happened,9443.0
entertainment.Kept,8565.0
entertainment.Look,15941.0
entertainment.Looks,8700.0
entertainment.Never,14049.0
entertainment.New,8228.0
entertainment.Photos,15584.0
entertainment.Unsee,12980.0
fashion,
fashion.Brings,2105.0
fashion.Hudson,2105.0
fashion.Kate,2106.0
fashion.New,2152.0
fashion.Outfits,2115.0
fashion.Shopping,919.0
fashion.Site,929.0
fashion.Women,1447.0
fashion.Workout,2120.0
fashion.Year,2110.0
finance,
finance.Abandoned,1035.0
finance.Acre,1035.0
finance.Apple,1036.0
finance.Base,1035.0
finance.Born,1238.0
finance.Leases,1035.0
finance.Military,1035.0
finance.New,2394.0
finance.Quietly,1035.0
finance.Win,2368.0
health,
health.Belly,3402.0
health.Cause,3788.0
health.Every,1983.0
health.Flat,2473.0
health.Mistakes,3075.0
health.Root,2081.0
health.Stomach,2082.0
health.Tips,2548.0
health.Weight,3116.0
health.Worst,3081.0
home,
home.Actually,1068.0
home.Buy,1253.0
home.Claim,1055.0
home.Furniture,1395.0
home.Neighbors,1600.0
home.Outraged,1597.0
home.See,1369.0
home.Site,2062.0
home.Think,1597.0
home.Tools,1055.0
