id,value
entertainment,
entertainment.Actually,17196.0
entertainment.Filming,19385.0
entertainment.Happened,20711.0
entertainment.Hidden,19274.0
entertainment.Kept,21832.0
entertainment.Look,39412.0
entertainment.Looks,19911.0
entertainment.Mesmerizing,18971.0
entertainment.New,21254.0
entertainment.Throughout,19159.0
fashion,
fashion.Brings,4841.0
fashion.Hudson,4841.0
fashion.Kate,4844.0
fashion.New,4960.0
fashion.Outfits,4860.0
fashion.Shopping,3199.0
fashion.Site,3236.0
fashion.Women,4295.0
fashion.Workout,4894.0
fashion.Year,4847.0
finance,
finance.Abandoned,2541.0
finance.Acre,2541.0
finance.Apple,2542.0
finance.Base,2541.0
finance.Born,3065.0
finance.Leases,2541.0
finance.Military,2541.0
finance.New,4640.0
finance.Quietly,2541.0
finance.Win,4588.0
health,
health.Belly,8876.0
health.Cause,7631.0
health.Flat,4969.0
health.Mistakes,6176.0
health.Problems,5595.0
health.Root,5594.0
health.Stomach,5594.0
health.Tips,5074.0
health.Weight,6259.0
health.Worst,6208.0
home,
home.Actually,2853.0
home.Buy,3285.0
home.Claim,2807.0
home.Craftsman,2765.0
home.Furniture,3436.0
home.Neighbors,2697.0
home.Outraged,2690.0
home.See,3495.0
home.Site,5176.0
home.Tools,2807.0
