country,city,clicks,views
United States of America,Los Angeles,1.0,844
United States of America,New York,2.0,591
United States of America,Seattle,3.0,666
United States of America,Chicago,2.0,710
United States of America,Portland,0.0,409
United States of America,Portland,0.0,409
United States of America,San Francisco,1.0,422
United States of America,Houston,1.0,469
United States of America,Philadelphia,2.0,477
United States of America,Austin,0.0,363
United States of America,San Diego,1.0,291
United States of America,Denver,2.0,284
United States of America,Minneapolis,0.0,384
United States of America,San Jose,0.0,294
United States of America,Atlanta,1.0,399
Canada,Toronto,0.0,292
United States of America,Las Vegas,0.0,186
United States of America,Las Vegas,0.0,186
United States of America,Oakland,0.0,261
United States of America,Miami,0.0,217
United States of America,Columbus,0.0,149
United States of America,Columbus,0.0,149
Singapore,Singapore,0.0,285
United States of America,Charlotte,0.0,268
United States of America,Phoenix,1.0,213
United States of America,Dallas,1.0,228
United States of America,Richmond,0.0,224
United States of America,Richmond,0.0,224
United States of America,Arlington,3.0,231
United States of America,Rochester,1.0,250
United States of America,Rochester,1.0,250
United States of America,Orlando,1.0,130
United States of America,Boston,0.0,125
United States of America,Pittsburgh,1.0,445
United States of America,Indianapolis,0.0,137
United States of America,Louisville,0.0,137
United States of America,Cincinnati,1.0,151
United States of America,Sacramento,0.0,209
United States of America,Ann Arbor,0.0,75
United States of America,Madison,0.0,182
Canada,Calgary,0.0,98
United States of America,Springfield,1.0,152
United States of America,Springfield,1.0,152
United States of America,Springfield,1.0,152
United States of America,Springfield,1.0,152
United States of America,Springfield,1.0,152
United States of America,San Antonio,0.0,102
United States of America,Salt Lake City,0.0,130
United States of America,Boise,0.0,129
Canada,Ottawa,0.0,85
United States of America,Wilmington,1.0,161
United States of America,Wilmington,1.0,161
Canada,Winnipeg,0.0,86
United States of America,Colorado Springs,0.0,67
United States of America,Newark,0.0,74
United States of America,Raleigh,0.0,94
United States of America,Fayetteville,1.0,117
United States of America,Fayetteville,1.0,117
United States of America,Buffalo,0.0,117
United States of America,Columbia,0.0,254
United States of America,Columbia,0.0,254
United States of America,Columbia,0.0,254
United States of America,Nashville,0.0,64
United States of America,Alexandria,0.0,100
United States of America,Alexandria,0.0,100
United States of America,Canton,0.0,52
United States of America,Kansas City,0.0,128
United States of America,Kansas City,0.0,128
United States of America,Baltimore,0.0,145
United States of America,Pasadena,0.0,18
United States of America,Pasadena,0.0,18
United States of America,Lynchburg,0.0,4
United States of America,Charleston,1.0,124
United States of America,Charleston,1.0,124
United States of America,Fort Lauderdale,1.0,125
United States of America,Bremerton,0.0,28
Ireland,Dublin,0.0,62
United States of America,Grand Rapids,0.0,69
United States of America,Medford,1.0,80
Canada,Edmonton,0.0,94
United States of America,Knoxville,0.0,53
United States of America,Honolulu,0.0,225
United States of America,Omaha,0.0,36
United States of America,Laurel,0.0,34
United States of America,Lancaster,0.0,40
United States of America,Lancaster,0.0,40
United States of America,Lancaster,0.0,40
United States of America,Virginia Beach,0.0,48
United States of America,Durham,0.0,58
Peru,Lima,0.0,98
United States of America,Duluth,0.0,10
United States of America,Milwaukee,1.0,163
United States of America,Olympia,0.0,67
United States of America,Albuquerque,0.0,176
United States of America,Santa Cruz,1.0,147
United States of America,Asheville,0.0,38
United States of America,Scottsdale,0.0,30
United Kingdom,London,0.0,54
United States of America,Irvine,0.0,16
United States of America,Tallahassee,0.0,91
United States of America,Oklahoma City,0.0,64
United States of America,Greenville,0.0,107
United States of America,Greenville,0.0,107
United States of America,Greenville,0.0,107
United States of America,Birmingham,0.0,95
Canada,Vancouver,1.0,194
United States of America,Eureka,0.0,8
United States of America,Des Moines,0.0,21
United States of America,Boulder,0.0,58
United States of America,Berkeley,0.0,97
United States of America,New Orleans,0.0,38
United States of America,Riverside,0.0,36
United States of America,Lexington,0.0,68
United States of America,Aurora,0.0,104
United States of America,Aurora,0.0,104
United States of America,Cleveland,0.0,125
United States of America,Lincoln,0.0,42
United States of America,Jackson,0.0,30
United States of America,Jackson,0.0,30
United States of America,Tampa,0.0,110
New Zealand,Auckland,1.0,67
United States of America,Marietta,1.0,63
United States of America,Lansing,0.0,31
United States of America,Greensboro,0.0,52
Australia,Brisbane,0.0,17
United Kingdom,Glasgow,0.0,26
United States of America,Bloomington,0.0,46
United States of America,Bloomington,0.0,46
United States of America,Jacksonville,0.0,116
United States of America,Jacksonville,0.0,116
United States of America,Mobile,0.0,34
United States of America,Tucson,0.0,124
United States of America,Wichita,0.0,51
United States of America,Bozeman,0.0,4
United States of America,Las Cruces,0.0,13
United States of America,Bakersfield,0.0,10
Japan,Tokyo,0.0,33
United States of America,San Marcos,0.0,12
United States of America,Decatur,0.0,69
South Korea,Seoul,0.0,30
United States of America,Vancouver,0.0,50
Germany,Berlin,1.0,8
Canada,Courtenay,0.0,60
United States of America,Memphis,0.0,37
United States of America,Mesa,0.0,50
United States of America,Spokane,0.0,51
United States of America,Garden City,0.0,38
United States of America,Tacoma,0.0,43
United States of America,Charlottesville,0.0,93
Canada,Hamilton,0.0,30
United States of America,Whittier,0.0,79
United States of America,Chattanooga,0.0,40
United States of America,Farmington,0.0,61
United States of America,Salem,0.0,45
United States of America,Salem,0.0,45
United States of America,Fresno,0.0,22
United States of America,Anchorage,1.0,62
United States of America,Watertown,0.0,30
United States of America,Cedar Rapids,0.0,73
United States of America,West Palm Beach,0.0,42
United States of America,Allentown,0.0,8
United States of America,Long Beach,0.0,28
