country,city,clicks,views,lat,lng
United States of America,Los Angeles,84.0,23747,33.98997825,-118.1799805
United States of America,New York,269.0,91065,40.74997906,-73.98001693
United States of America,Chicago,145.0,60187,41.82999066,-87.75005497
United States of America,Seattle,46.0,16249,47.57000205,-122.339985
United States of America,Portland,57.0,19863,43.67216158,-70.2455274
United States of America,Portland,57.0,19863,45.52002382,-122.6799901
United States of America,San Francisco,28.0,10645,37.74000775,-122.4599777
United States of America,Denver,67.0,27776,39.73918805,-104.984016
United States of America,Houston,154.0,41931,29.81997438,-95.33997929
United States of America,Philadelphia,118.0,50000,39.99997316,-75.16999597
United States of America,Minneapolis,79.0,34218,44.97997927,-93.25178634
United States of America,Austin,68.0,29804,30.26694969,-97.74277836
Canada,Toronto,84.0,35171,43.69997988,-79.42002079
United States of America,San Diego,27.0,8778,32.82002382,-117.1799899
United States of America,Atlanta,115.0,43585,33.83001385,-84.39994938
United States of America,San Jose,31.0,12321,37.29998293,-121.8499891
United States of America,Phoenix,60.0,19547,33.53997988,-112.0699917
United States of America,Arlington,57.0,27492,32.68476076,-97.02023849
United States of America,Miami,116.0,30531,25.7876107,-80.22410608
United States of America,Charlotte,78.0,31221,35.20499453,-80.83003809
United States of America,Dallas,75.0,23103,32.82002382,-96.84001693
United States of America,Las Vegas,35.0,9832,35.59701194,-105.2225027
United States of America,Las Vegas,35.0,9832,36.20999778,-115.2200061
United States of America,Oakland,13.0,5266,37.76892071,-122.2211034
United States of America,Columbus,66.0,30223,32.47043276,-84.98001734
United States of America,Columbus,66.0,30223,39.97997438,-82.9900096
Singapore,Singapore,49.0,44642,1.293033466,103.8558207
United States of America,Pittsburgh,69.0,25242,40.4299986,-79.99998539
United States of America,Sacramento,12.0,6042,38.57502138,-121.4700381
United States of America,Louisville,61.0,21764,38.22501691,-85.74870427
United States of America,Salt Lake City,22.0,8354,40.7750163,-111.9300519
United States of America,Boston,54.0,25291,42.32996014,-71.07001367
United States of America,Madison,36.0,19255,43.07301556,-89.40111699
United States of America,Tucson,38.0,14040,32.20499676,-110.8899862
United States of America,Albuquerque,36.0,11016,35.10497479,-106.6413308
United States of America,Richmond,47.0,18290,39.82889833,-84.89028121
United States of America,Richmond,47.0,18290,37.55001935,-77.449986
United States of America,San Antonio,39.0,14989,29.48733319,-98.50730534
United States of America,Baltimore,50.0,24186,39.29999005,-76.61998499
United States of America,Orlando,62.0,22584,28.50997683,-81.38003036
United States of America,Rochester,49.0,23489,44.02205324,-92.46968937
United States of America,Rochester,49.0,23489,43.17042564,-77.61994979
Canada,Vancouver,14.0,3489,49.27341658,-123.1216442
United States of America,Tampa,58.0,20568,27.94698793,-82.45862085
United States of America,Indianapolis,53.0,18595,39.74998842,-86.17004806
United States of America,Cleveland,43.0,18900,41.4699868,-81.69499821
United States of America,Cincinnati,44.0,18909,39.16188479,-84.45692265
United States of America,Springfield,44.0,15819,44.05194806,-122.9780339
United States of America,Springfield,44.0,15819,42.12002464,-72.57999903
United States of America,Springfield,44.0,15819,39.92000388,-83.799986
United States of America,Springfield,44.0,15819,39.82000999,-89.65001652
United States of America,Springfield,44.0,15819,37.18001609,-93.31999923
Canada,Calgary,11.0,5166,51.08299176,-114.0799982
United States of America,Raleigh,38.0,18670,35.81878135,-78.64469344
United States of America,Columbia,30.0,14475,35.61499534,-87.03526656
United States of America,Columbia,30.0,14475,38.95207847,-92.33390955
United States of America,Columbia,30.0,14475,34.0399752,-80.89998214
United States of America,Alexandria,32.0,17035,38.82043276,-77.09998153
United States of America,Alexandria,32.0,17035,31.31109784,-92.44501388
United States of America,Milwaukee,33.0,14706,43.05265505,-87.91996708
United States of America,Kansas City,23.0,11772,39.11358052,-94.63014638
United States of America,Kansas City,23.0,11772,39.10708851,-94.60409422
United States of America,Jacksonville,44.0,16603,34.75432436,-77.43055567
United States of America,Jacksonville,44.0,16603,30.33002077,-81.66998682
United States of America,Honolulu,10.0,3260,21.30687644,-157.8579979
United States of America,Nashville,28.0,11351,36.16997438,-86.77998499
United States of America,Lexington,29.0,13489,38.05001467,-84.50002079
United States of America,Fort Lauderdale,46.0,16508,26.13606488,-80.14178552
United States of America,Omaha,28.0,11066,41.24000083,-96.00999007
