id,value
entertainment,
entertainment.Filming,19128.0
entertainment.Happened,22298.0
entertainment.Kept,20886.0
entertainment.Like,20046.0
entertainment.Look,42717.0
entertainment.Looks,23353.0
entertainment.Mesmerizing,20448.0
entertainment.New,22181.0
entertainment.Police,20914.0
entertainment.Years,18762.0
fashion,
fashion.Brings,5249.0
fashion.Hudson,5252.0
fashion.Kate,5251.0
fashion.New,5374.0
fashion.Outfits,5268.0
fashion.Shopping,3677.0
fashion.Site,3707.0
fashion.Women,4694.0
fashion.Workout,5272.0
fashion.Year,5261.0
finance,
finance.Abandoned,2893.0
finance.Acre,2893.0
finance.Apple,2896.0
finance.Base,2893.0
finance.Born,3393.0
finance.Leases,2893.0
finance.Military,2893.0
finance.New,4684.0
finance.Quietly,2894.0
finance.Win,4536.0
health,
health.Belly,8931.0
health.Cause,7700.0
health.Flat,4880.0
health.Mistakes,5943.0
health.Problems,6722.0
health.Root,6722.0
health.Stomach,6722.0
health.Tips,4917.0
health.Weight,6015.0
health.Worst,5945.0
home,
home.Actually,2805.0
home.Buy,3392.0
home.Cable,4447.0
home.Company,2860.0
home.Furniture,3490.0
home.Know,3014.0
home.See,3543.0
home.Site,5415.0
home.Tools,2776.0
home.Want,2890.0
