country,city,clicks,views,lat,lng
United States of America,Los Angeles,341.0,211569,33.98997825,-118.1799805
United States of America,New York,691.0,276562,40.74997906,-73.98001693
United States of America,Chicago,337.0,189082,41.82999066,-87.75005497
United States of America,Seattle,219.0,132464,47.57000205,-122.339985
United States of America,Portland,220.0,123715,43.67216158,-70.2455274
United States of America,Portland,220.0,123715,45.52002382,-122.6799901
United States of America,San Francisco,141.0,106170,37.74000775,-122.4599777
United States of America,Denver,215.0,102662,39.73918805,-104.984016
United States of America,Houston,243.0,109012,29.81997438,-95.33997929
United States of America,Philadelphia,163.0,91392,39.99997316,-75.16999597
United States of America,Minneapolis,166.0,85705,44.97997927,-93.25178634
United States of America,Austin,156.0,83800,30.26694969,-97.74277836
Canada,Toronto,158.0,73525,43.69997988,-79.42002079
United States of America,San Diego,123.0,71813,32.82002382,-117.1799899
United States of America,Atlanta,170.0,79131,33.83001385,-84.39994938
United States of America,San Jose,114.0,66642,37.29998293,-121.8499891
United States of America,Phoenix,130.0,57613,33.53997988,-112.0699917
United States of America,Arlington,92.0,47685,32.68476076,-97.02023849
United States of America,Miami,117.0,51110,25.7876107,-80.22410608
United States of America,Charlotte,91.0,47491,35.20499453,-80.83003809
United States of America,Dallas,120.0,60197,32.82002382,-96.84001693
United States of America,Las Vegas,81.0,43397,35.59701194,-105.2225027
United States of America,Las Vegas,81.0,43397,36.20999778,-115.2200061
United States of America,Oakland,88.0,43619,37.76892071,-122.2211034
United States of America,Columbus,83.0,48549,32.47043276,-84.98001734
United States of America,Columbus,83.0,48549,39.97997438,-82.9900096
Singapore,Singapore,13.0,15910,1.293033466,103.8558207
United States of America,Pittsburgh,77.0,44139,40.4299986,-79.99998539
United States of America,Sacramento,74.0,40690,38.57502138,-121.4700381
United States of America,Louisville,121.0,40009,38.22501691,-85.74870427
United States of America,Salt Lake City,64.0,40750,40.7750163,-111.9300519
United States of America,Boston,96.0,54279,42.32996014,-71.07001367
United States of America,Madison,90.0,43998,43.07301556,-89.40111699
United States of America,Tucson,83.0,37735,32.20499676,-110.8899862
United States of America,Albuquerque,75.0,35128,35.10497479,-106.6413308
United States of America,Richmond,64.0,35697,39.82889833,-84.89028121
United States of America,Richmond,64.0,35697,37.55001935,-77.449986
United States of America,San Antonio,68.0,33882,29.48733319,-98.50730534
United States of America,Baltimore,83.0,40674,39.29999005,-76.61998499
United States of America,Orlando,68.0,33702,28.50997683,-81.38003036
United States of America,Rochester,74.0,34420,44.02205324,-92.46968937
United States of America,Rochester,74.0,34420,43.17042564,-77.61994979
Canada,Vancouver,46.0,31168,49.27341658,-123.1216442
United States of America,Tampa,83.0,31392,27.94698793,-82.45862085
United States of America,Indianapolis,58.0,31644,39.74998842,-86.17004806
United States of America,Cleveland,59.0,33684,41.4699868,-81.69499821
United States of America,Cincinnati,55.0,31512,39.16188479,-84.45692265
United States of America,Springfield,68.0,31489,44.05194806,-122.9780339
United States of America,Springfield,68.0,31489,42.12002464,-72.57999903
United States of America,Springfield,68.0,31489,39.92000388,-83.799986
United States of America,Springfield,68.0,31489,39.82000999,-89.65001652
United States of America,Springfield,68.0,31489,37.18001609,-93.31999923
Canada,Calgary,64.0,26793,51.08299176,-114.0799982
United States of America,Raleigh,54.0,31306,35.81878135,-78.64469344
United States of America,Columbia,58.0,28643,35.61499534,-87.03526656
United States of America,Columbia,58.0,28643,38.95207847,-92.33390955
United States of America,Columbia,58.0,28643,34.0399752,-80.89998214
United States of America,Alexandria,50.0,26579,38.82043276,-77.09998153
United States of America,Alexandria,50.0,26579,31.31109784,-92.44501388
United States of America,Milwaukee,55.0,31568,43.05265505,-87.91996708
United States of America,Kansas City,59.0,31288,39.11358052,-94.63014638
United States of America,Kansas City,59.0,31288,39.10708851,-94.60409422
United States of America,Jacksonville,41.0,23160,34.75432436,-77.43055567
United States of America,Jacksonville,41.0,23160,30.33002077,-81.66998682
United States of America,Honolulu,45.0,21505,21.30687644,-157.8579979
United States of America,Nashville,46.0,27342,36.16997438,-86.77998499
United States of America,Lexington,44.0,22118,38.05001467,-84.50002079
United States of America,Fort Lauderdale,60.0,24887,26.13606488,-80.14178552
United States of America,Omaha,56.0,26518,41.24000083,-96.00999007
United States of America,Buffalo,46.0,21694,42.87997825,-78.88000208
Canada,Ottawa,48.0,20224,45.4166968,-75.7000153
United States of America,Wilmington,51.0,20330,39.74626772,-75.54689803
United States of America,Wilmington,51.0,20330,34.22551943,-77.94502039
