id,value
entertainment,
entertainment.Disastrous,7293.0
entertainment.Happened,6296.0
entertainment.Like,5492.0
entertainment.Look,9764.0
entertainment.Looks,6088.0
entertainment.Mesmerizing,4616.0
entertainment.Never,7945.0
entertainment.New,5022.0
entertainment.Photos,8854.0
entertainment.Unsee,7317.0
fashion,
fashion.Brings,1174.0
fashion.Hudson,1174.0
fashion.Kate,1175.0
fashion.New,1214.0
fashion.Outfits,1175.0
fashion.Shopping,595.0
fashion.Site,614.0
fashion.Women,976.0
fashion.Workout,1182.0
fashion.Year,1182.0
finance,
finance.Abandoned,647.0
finance.Acre,647.0
finance.Apple,648.0
finance.Base,647.0
finance.Born,611.0
finance.Leases,647.0
finance.Military,647.0
finance.New,1591.0
finance.Quietly,647.0
finance.Win,1566.0
health,
health.Belly,1752.0
health.Cause,2127.0
health.Every,1239.0
health.Flat,1296.0
health.Mistakes,1743.0
health.Root,1211.0
health.Skin,1326.0
health.Tips,1356.0
health.Weight,1772.0
health.Worst,1757.0
home,
home.Actually,695.0
home.Buy,771.0
home.Claim,689.0
home.Furniture,843.0
home.Neighbors,895.0
home.Outraged,894.0
home.See,847.0
home.Site,1316.0
home.Think,894.0
home.Tools,689.0
