country,city,clicks,views
United States of America,Los Angeles,2.0,860
United States of America,New York,3.0,781
United States of America,Seattle,0.0,780
United States of America,Chicago,2.0,768
United States of America,Portland,1.0,690
United States of America,Portland,1.0,690
United States of America,San Francisco,1.0,509
United States of America,Houston,2.0,486
United States of America,Philadelphia,3.0,439
United States of America,Austin,1.0,401
United States of America,San Diego,3.0,391
United States of America,Denver,0.0,363
United States of America,Minneapolis,1.0,307
United States of America,San Jose,2.0,303
United States of America,Atlanta,1.0,300
Canada,Toronto,1.0,292
United States of America,Las Vegas,1.0,254
United States of America,Las Vegas,1.0,254
United States of America,Oakland,0.0,220
United States of America,Miami,0.0,207
United States of America,Columbus,1.0,202
United States of America,Columbus,1.0,202
Singapore,Singapore,0.0,186
United States of America,Charlotte,0.0,182
United States of America,Phoenix,0.0,182
United States of America,Dallas,1.0,174
United States of America,Richmond,1.0,174
United States of America,Richmond,1.0,174
United States of America,Arlington,0.0,167
United States of America,Rochester,0.0,158
United States of America,Rochester,0.0,158
United States of America,Orlando,1.0,158
United States of America,Boston,1.0,156
United States of America,Pittsburgh,0.0,156
United States of America,Indianapolis,0.0,155
United States of America,Louisville,0.0,154
United States of America,Cincinnati,0.0,152
United States of America,Sacramento,0.0,147
United States of America,Ann Arbor,0.0,144
United States of America,Madison,0.0,143
Canada,Calgary,0.0,138
United States of America,Springfield,0.0,137
United States of America,Springfield,0.0,137
United States of America,Springfield,0.0,137
United States of America,Springfield,0.0,137
United States of America,Springfield,0.0,137
United States of America,San Antonio,0.0,131
United States of America,Salt Lake City,0.0,130
United States of America,Boise,0.0,129
Canada,Ottawa,0.0,124
United States of America,Wilmington,1.0,123
United States of America,Wilmington,1.0,123
Canada,Winnipeg,1.0,120
United States of America,Colorado Springs,0.0,117
United States of America,Newark,0.0,115
United States of America,Raleigh,0.0,112
United States of America,Fayetteville,1.0,112
United States of America,Fayetteville,1.0,112
United States of America,Buffalo,0.0,112
United States of America,Columbia,0.0,111
United States of America,Columbia,0.0,111
United States of America,Columbia,0.0,111
United States of America,Nashville,0.0,110
United States of America,Alexandria,0.0,110
United States of America,Alexandria,0.0,110
United States of America,Canton,0.0,107
United States of America,Kansas City,0.0,103
United States of America,Kansas City,0.0,103
United States of America,Baltimore,0.0,103
United States of America,Pasadena,0.0,101
United States of America,Pasadena,0.0,101
United States of America,Lynchburg,2.0,99
United States of America,Charleston,0.0,98
United States of America,Charleston,0.0,98
United States of America,Fort Lauderdale,0.0,97
United States of America,Bremerton,0.0,94
Ireland,Dublin,1.0,92
United States of America,Grand Rapids,0.0,90
United States of America,Medford,1.0,88
Canada,Edmonton,0.0,86
United States of America,Knoxville,0.0,86
United States of America,Honolulu,0.0,85
United States of America,Omaha,0.0,85
United States of America,Laurel,0.0,84
United States of America,Lancaster,0.0,83
United States of America,Lancaster,0.0,83
United States of America,Lancaster,0.0,83
United States of America,Virginia Beach,0.0,83
United States of America,Durham,0.0,83
Peru,Lima,0.0,83
United States of America,Duluth,0.0,83
United States of America,Milwaukee,0.0,82
United States of America,Olympia,0.0,80
United States of America,Albuquerque,0.0,79
United States of America,Santa Cruz,2.0,79
United States of America,Asheville,0.0,79
United States of America,Scottsdale,0.0,78
United Kingdom,London,0.0,78
United States of America,Irvine,0.0,77
United States of America,Tallahassee,1.0,77
United States of America,Oklahoma City,0.0,76
United States of America,Greenville,0.0,76
United States of America,Greenville,0.0,76
United States of America,Greenville,0.0,76
United States of America,Birmingham,1.0,74
Canada,Vancouver,1.0,74
United States of America,Eureka,0.0,74
United States of America,Des Moines,1.0,73
United States of America,Boulder,0.0,72
United States of America,Berkeley,0.0,71
United States of America,New Orleans,0.0,70
United States of America,Riverside,0.0,69
United States of America,Lexington,0.0,69
United States of America,Aurora,0.0,69
United States of America,Aurora,0.0,69
United States of America,Cleveland,0.0,68
United States of America,Lincoln,0.0,66
United States of America,Jackson,0.0,66
United States of America,Jackson,0.0,66
United States of America,Tampa,0.0,66
New Zealand,Auckland,0.0,66
United States of America,Marietta,0.0,65
United States of America,Lansing,0.0,65
United States of America,Greensboro,0.0,64
Australia,Brisbane,0.0,64
United Kingdom,Glasgow,0.0,62
United States of America,Bloomington,0.0,62
United States of America,Bloomington,0.0,62
United States of America,Jacksonville,0.0,61
United States of America,Jacksonville,0.0,61
United States of America,Mobile,0.0,61
United States of America,Tucson,0.0,60
United States of America,Wichita,0.0,58
United States of America,Bozeman,0.0,58
United States of America,Las Cruces,0.0,58
United States of America,Bakersfield,0.0,58
Japan,Tokyo,0.0,58
