country,city,clicks,views,lat,lng
United States of America,Los Angeles,1.0,424,33.98997825,-118.1799805
United States of America,New York,1.0,1308,40.74997906,-73.98001693
United States of America,Seattle,0.0,738,47.57000205,-122.339985
United States of America,Chicago,1.0,992,41.82999066,-87.75005497
United States of America,Portland,1.0,401,43.67216158,-70.2455274
United States of America,Portland,1.0,401,45.52002382,-122.6799901
United States of America,San Francisco,1.0,193,37.74000775,-122.4599777
United States of America,Houston,1.0,560,29.81997438,-95.33997929
United States of America,Philadelphia,1.0,416,39.99997316,-75.16999597
United States of America,Austin,1.0,397,30.26694969,-97.74277836
United States of America,San Diego,0.0,230,32.82002382,-117.1799899
United States of America,Denver,0.0,426,39.73918805,-104.984016
United States of America,Minneapolis,1.0,499,44.97997927,-93.25178634
United States of America,San Jose,0.0,172,37.29998293,-121.8499891
United States of America,Atlanta,0.0,357,33.83001385,-84.39994938
Canada,Toronto,0.0,376,43.69997988,-79.42002079
United States of America,Las Vegas,0.0,125,35.59701194,-105.2225027
United States of America,Las Vegas,0.0,125,36.20999778,-115.2200061
United States of America,Oakland,0.0,94,37.76892071,-122.2211034
United States of America,Miami,0.0,227,25.7876107,-80.22410608
United States of America,Columbus,0.0,262,32.47043276,-84.98001734
United States of America,Columbus,0.0,262,39.97997438,-82.9900096
Singapore,Singapore,0.0,321,1.293033466,103.8558207
United States of America,Charlotte,0.0,181,35.20499453,-80.83003809
United States of America,Phoenix,0.0,294,33.53997988,-112.0699917
United States of America,Dallas,0.0,315,32.82002382,-96.84001693
United States of America,Richmond,0.0,176,39.82889833,-84.89028121
United States of America,Richmond,0.0,176,37.55001935,-77.449986
United States of America,Arlington,0.0,213,32.68476076,-97.02023849
United States of America,Rochester,0.0,237,44.02205324,-92.46968937
United States of America,Rochester,0.0,237,43.17042564,-77.61994979
United States of America,Orlando,1.0,158,28.50997683,-81.38003036
United States of America,Boston,0.0,275,42.32996014,-71.07001367
United States of America,Pittsburgh,0.0,221,40.4299986,-79.99998539
United States of America,Indianapolis,0.0,188,39.74998842,-86.17004806
United States of America,Louisville,1.0,148,38.22501691,-85.74870427
United States of America,Cincinnati,0.0,141,39.16188479,-84.45692265
United States of America,Sacramento,0.0,152,38.57502138,-121.4700381
United States of America,Ann Arbor,0.0,89,42.30037539,-83.71999089
United States of America,Madison,0.0,190,43.07301556,-89.40111699
Canada,Calgary,0.0,102,51.08299176,-114.0799982
United States of America,Springfield,0.0,148,44.05194806,-122.9780339
United States of America,Springfield,0.0,148,42.12002464,-72.57999903
United States of America,Springfield,0.0,148,39.92000388,-83.799986
United States of America,Springfield,0.0,148,39.82000999,-89.65001652
United States of America,Springfield,0.0,148,37.18001609,-93.31999923
United States of America,San Antonio,0.0,149,29.48733319,-98.50730534
United States of America,Salt Lake City,0.0,194,40.7750163,-111.9300519
United States of America,Boise,0.0,44,43.60859011,-116.2274899
Canada,Ottawa,1.0,126,45.4166968,-75.7000153
United States of America,Wilmington,0.0,106,39.74626772,-75.54689803
United States of America,Wilmington,0.0,106,34.22551943,-77.94502039
Canada,Winnipeg,0.0,100,49.88298749,-97.16599186
United States of America,Colorado Springs,0.0,79,38.86296246,-104.7919863
United States of America,Newark,0.0,31,40.70042137,-74.17000533
United States of America,Raleigh,0.0,129,35.81878135,-78.64469344
United States of America,Fayetteville,0.0,43,36.06297833,-94.15720911
United States of America,Fayetteville,0.0,43,35.06293601,-78.88359359
United States of America,Buffalo,0.0,74,42.87997825,-78.88000208
United States of America,Columbia,0.0,76,35.61499534,-87.03526656
United States of America,Columbia,0.0,76,38.95207847,-92.33390955
United States of America,Columbia,0.0,76,34.0399752,-80.89998214
United States of America,Nashville,0.0,196,36.16997438,-86.77998499
United States of America,Alexandria,0.0,86,38.82043276,-77.09998153
United States of America,Alexandria,0.0,86,31.31109784,-92.44501388
United States of America,Canton,0.0,58,40.79886497,-81.37863509
United States of America,Kansas City,0.0,174,39.11358052,-94.63014638
United States of America,Kansas City,0.0,174,39.10708851,-94.60409422
United States of America,Baltimore,0.0,162,39.29999005,-76.61998499
United States of America,Pasadena,0.0,22,29.66086265,-95.14774296
United States of America,Pasadena,0.0,22,34.16038129,-118.1388719
United States of America,Lynchburg,0.0,68,37.4136194,-79.14246668
United States of America,Charleston,0.0,52,32.79237693,-79.99210474
United States of America,Charleston,0.0,52,38.34973798,-81.63272811
United States of America,Fort Lauderdale,0.0,203,26.13606488,-80.14178552
United States of America,Bremerton,0.0,40,47.57359552,-122.6420175
Ireland,Dublin,0.0,171,53.33306114,-6.248905682
United States of America,Grand Rapids,0.0,58,42.96371991,-85.66994938
United States of America,Medford,0.0,107,42.32662701,-122.8744227
Canada,Edmonton,0.0,62,53.55002464,-113.4999819
United States of America,Knoxville,0.0,92,35.97001243,-83.92003036
United States of America,Honolulu,0.0,37,21.30687644,-157.8579979
United States of America,Omaha,0.0,122,41.24000083,-96.00999007
United States of America,Laurel,0.0,20,31.69737917,-89.1392725
United States of America,Lancaster,0.0,39,39.71921511,-82.6053044
United States of America,Lancaster,0.0,39,40.03777447,-76.30576644
United States of America,Lancaster,0.0,39,34.69804873,-118.135823
United States of America,Virginia Beach,2.0,153,36.85321433,-75.97831873
United States of America,Durham,0.0,52,35.99995892,-78.91999964
Peru,Lima,0.0,9,-12.04801268,-77.05006209
United States of America,Duluth,0.0,41,46.78333173,-92.10637822
United States of America,Milwaukee,0.0,118,43.05265505,-87.91996708
United States of America,Olympia,1.0,78,47.03804486,-122.899434
United States of America,Albuquerque,0.0,136,35.10497479,-106.6413308
United States of America,Santa Cruz,0.0,171,36.97194629,-122.0263904
United States of America,Asheville,0.0,48,35.60119773,-82.55414474
United States of America,Scottsdale,0.0,55,33.69234784,-111.8680402
United Kingdom,London,1.0,182,51.49999473,-0.116721844
United States of America,Irvine,0.0,50,33.68041058,-117.8299502
United States of America,Tallahassee,0.0,133,30.44998761,-84.28003422
United States of America,Oklahoma City,0.0,86,35.47004295,-97.51868351
United States of America,Greenville,1.0,133,33.41037539,-91.06168746
United States of America,Greenville,1.0,133,34.85292299,-82.3941545
United States of America,Greenville,1.0,133,35.61287661,-77.3666836
United States of America,Birmingham,2.0,159,33.53000633,-86.82499516
Canada,Vancouver,0.0,66,49.27341658,-123.1216442
United States of America,Eureka,0.0,14,40.80222394,-124.1474974
United States of America,Des Moines,0.0,38,41.57998008,-93.61998092
United States of America,Boulder,1.0,57,40.03844627,-105.246093
United States of America,Berkeley,0.0,86,37.87390139,-122.271152
United States of America,New Orleans,0.0,67,29.99500246,-90.03996688
United States of America,Riverside,0.0,98,33.94194501,-117.3980386
United States of America,Lexington,0.0,125,38.05001467,-84.50002079
United States of America,Aurora,0.0,171,39.69585736,-104.808497
United States of America,Aurora,0.0,171,41.76539512,-88.29999557
United States of America,Cleveland,0.0,153,41.4699868,-81.69499821
United States of America,Lincoln,0.0,44,40.81997479,-96.68000086
United States of America,Jackson,0.0,70,35.61486615,-88.81389185
United States of America,Jackson,0.0,70,32.29881533,-90.18499679
United States of America,Tampa,0.0,189,27.94698793,-82.45862085
New Zealand,Auckland,0.0,1,-36.850013,174.7649808
United States of America,Marietta,1.0,36,33.95561342,-84.54324813
United States of America,Lansing,0.0,29,42.73352724,-84.54673629
United States of America,Greensboro,0.0,56,36.07000633,-79.80002344
Australia,Brisbane,0.0,14,-27.45503091,153.0350927
