id,value
entertainment,
entertainment.Actually,14694.0
entertainment.Barron,12512.0
entertainment.Happened,17779.0
entertainment.Kept,10211.0
entertainment.Like,9278.0
entertainment.Look,34823.0
entertainment.Looks,12998.0
entertainment.Mesmerizing,16973.0
entertainment.New,17817.0
entertainment.Spoiled,12509.0
family,
family.Across,1285.0
family.Diana,1152.0
family.Disbelief,1285.0
family.Discovered,1188.0
family.Left,1345.0
family.Newly,1285.0
family.People,1285.0
family.Princess,1153.0
family.Secrets,1285.0
family.World,1285.0
finance,
finance.Acre,1613.0
finance.Big,1772.0
finance.Born,2567.0
finance.Could,1785.0
finance.Getting,1658.0
finance.Homeowners,2339.0
finance.New,3201.0
finance.Pay,1683.0
finance.Quietly,1615.0
finance.Win,3091.0
health,
health.Attack,2923.0
health.Benefits,2933.0
health.Cause,2906.0
health.Death,2906.0
health.Every,4219.0
health.Heart,4408.0
health.Life,2908.0
health.Stages,4400.0
health.Us,2906.0
health.Watch,2944.0
home,
home.Actually,2986.0
home.Claim,2939.0
home.Craftsman,2841.0
home.Furniture,1538.0
home.Neighbors,1773.0
home.Outraged,1768.0
home.See,1571.0
home.Site,2504.0
home.Think,1769.0
home.Tools,2940.0
