country,city,clicks,views
United States of America,Los Angeles,0.0,392
United States of America,New York,0.0,99
United States of America,Seattle,0.0,186
United States of America,Chicago,1.0,125
United States of America,Portland,0.0,134
United States of America,Portland,0.0,134
United States of America,San Francisco,0.0,149
United States of America,Houston,0.0,120
United States of America,Philadelphia,0.0,46
United States of America,Austin,0.0,35
United States of America,San Diego,1.0,176
United States of America,Denver,0.0,111
United States of America,Minneapolis,0.0,36
United States of America,San Jose,0.0,98
United States of America,Atlanta,1.0,62
Canada,Toronto,0.0,38
United States of America,Las Vegas,0.0,92
United States of America,Las Vegas,0.0,92
United States of America,Oakland,0.0,121
United States of America,Miami,0.0,40
United States of America,Columbus,0.0,22
United States of America,Columbus,0.0,22
Singapore,Singapore,0.0,218
United States of America,Charlotte,0.0,16
United States of America,Phoenix,0.0,69
United States of America,Dallas,0.0,41
United States of America,Richmond,0.0,52
United States of America,Richmond,0.0,52
United States of America,Arlington,0.0,24
United States of America,Rochester,0.0,30
United States of America,Rochester,0.0,30
United States of America,Orlando,0.0,35
United States of America,Boston,0.0,24
United States of America,Pittsburgh,0.0,64
United States of America,Indianapolis,0.0,14
United States of America,Louisville,0.0,25
United States of America,Cincinnati,0.0,12
United States of America,Sacramento,1.0,72
United States of America,Ann Arbor,0.0,4
United States of America,Madison,0.0,26
Canada,Calgary,0.0,62
United States of America,Springfield,0.0,20
United States of America,Springfield,0.0,20
United States of America,Springfield,0.0,20
United States of America,Springfield,0.0,20
United States of America,Springfield,0.0,20
United States of America,San Antonio,0.0,32
United States of America,Salt Lake City,0.0,40
United States of America,Boise,1.0,117
Canada,Ottawa,0.0,25
Canada,Winnipeg,0.0,10
United States of America,Newark,0.0,28
United States of America,Raleigh,0.0,51
United States of America,Fayetteville,0.0,7
United States of America,Fayetteville,0.0,7
United States of America,Buffalo,0.0,4
United States of America,Columbia,0.0,10
United States of America,Columbia,0.0,10
United States of America,Columbia,0.0,10
United States of America,Nashville,0.0,8
United States of America,Alexandria,0.0,6
United States of America,Alexandria,0.0,6
United States of America,Kansas City,0.0,4
United States of America,Kansas City,0.0,4
United States of America,Baltimore,0.0,10
United States of America,Pasadena,0.0,56
United States of America,Pasadena,0.0,56
United States of America,Charleston,0.0,8
United States of America,Charleston,0.0,8
United States of America,Fort Lauderdale,0.0,4
United States of America,Bremerton,0.0,20
Ireland,Dublin,0.0,64
United States of America,Grand Rapids,0.0,8
United States of America,Medford,0.0,4
Canada,Edmonton,0.0,34
United States of America,Honolulu,0.0,118
United States of America,Omaha,0.0,4
United States of America,Laurel,0.0,4
United States of America,Lancaster,0.0,10
United States of America,Lancaster,0.0,10
United States of America,Lancaster,0.0,10
United States of America,Virginia Beach,0.0,36
United States of America,Durham,0.0,8
United States of America,Duluth,0.0,8
United States of America,Milwaukee,0.0,61
United States of America,Olympia,0.0,16
United States of America,Albuquerque,1.0,34
United States of America,Santa Cruz,0.0,42
United States of America,Asheville,0.0,12
United States of America,Scottsdale,0.0,6
United Kingdom,London,0.0,134
United States of America,Tallahassee,0.0,6
United States of America,Oklahoma City,0.0,35
United States of America,Birmingham,0.0,6
Canada,Vancouver,0.0,86
United States of America,Eureka,0.0,32
United States of America,Boulder,0.0,6
United States of America,Berkeley,1.0,10
United States of America,New Orleans,0.0,13
United States of America,Riverside,0.0,18
United States of America,Lexington,0.0,4
United States of America,Aurora,0.0,46
United States of America,Aurora,0.0,46
United States of America,Cleveland,0.0,18
United States of America,Lincoln,0.0,12
United States of America,Tampa,0.0,6
New Zealand,Auckland,0.0,67
United States of America,Marietta,0.0,14
United States of America,Lansing,0.0,4
United States of America,Greensboro,0.0,18
Australia,Brisbane,0.0,19
United Kingdom,Glasgow,0.0,24
United States of America,Bloomington,0.0,4
United States of America,Bloomington,0.0,4
United States of America,Jacksonville,0.0,4
United States of America,Jacksonville,0.0,4
United States of America,Mobile,0.0,8
United States of America,Tucson,0.0,20
United States of America,Bozeman,0.0,6
United States of America,Bakersfield,0.0,11
Japan,Tokyo,0.0,25
United States of America,San Marcos,0.0,7
South Korea,Seoul,0.0,120
United States of America,Vancouver,0.0,8
Germany,Berlin,1.0,33
Canada,Courtenay,0.0,14
United States of America,Memphis,0.0,20
United States of America,Mesa,0.0,34
United States of America,Spokane,0.0,14
United States of America,Tacoma,0.0,33
