country,city,clicks,views,lat,lng
United States of America,Los Angeles,59.0,23046,33.98997825,-118.1799805
United States of America,New York,185.0,47466,40.74997906,-73.98001693
United States of America,Chicago,118.0,34808,41.82999066,-87.75005497
United States of America,Seattle,37.0,13794,47.57000205,-122.339985
United States of America,Portland,37.0,15219,43.67216158,-70.2455274
United States of America,Portland,37.0,15219,45.52002382,-122.6799901
United States of America,San Francisco,30.0,9450,37.74000775,-122.4599777
United States of America,Denver,40.0,12894,39.73918805,-104.984016
United States of America,Houston,74.0,23402,29.81997438,-95.33997929
United States of America,Philadelphia,68.0,30595,39.99997316,-75.16999597
United States of America,Minneapolis,52.0,18870,44.97997927,-93.25178634
United States of America,Austin,44.0,15787,30.26694969,-97.74277836
Canada,Toronto,46.0,19657,43.69997988,-79.42002079
United States of America,San Diego,18.0,7523,32.82002382,-117.1799899
United States of America,Atlanta,62.0,24285,33.83001385,-84.39994938
United States of America,San Jose,27.0,11717,37.29998293,-121.8499891
United States of America,Phoenix,28.0,11488,33.53997988,-112.0699917
United States of America,Arlington,41.0,16011,32.68476076,-97.02023849
United States of America,Miami,62.0,17641,25.7876107,-80.22410608
United States of America,Charlotte,60.0,18141,35.20499453,-80.83003809
United States of America,Dallas,41.0,12577,32.82002382,-96.84001693
United States of America,Las Vegas,32.0,7999,35.59701194,-105.2225027
United States of America,Las Vegas,32.0,7999,36.20999778,-115.2200061
United States of America,Oakland,15.0,5054,37.76892071,-122.2211034
United States of America,Columbus,36.0,16783,32.47043276,-84.98001734
United States of America,Columbus,36.0,16783,39.97997438,-82.9900096
Singapore,Singapore,48.0,39441,1.293033466,103.8558207
United States of America,Pittsburgh,45.0,15711,40.4299986,-79.99998539
United States of America,Sacramento,19.0,5464,38.57502138,-121.4700381
United States of America,Louisville,47.0,14605,38.22501691,-85.74870427
United States of America,Salt Lake City,20.0,4944,40.7750163,-111.9300519
United States of America,Boston,49.0,13536,42.32996014,-71.07001367
United States of America,Madison,27.0,10103,43.07301556,-89.40111699
United States of America,Tucson,23.0,6816,32.20499676,-110.8899862
United States of America,Albuquerque,14.0,5508,35.10497479,-106.6413308
United States of America,Richmond,35.0,11766,39.82889833,-84.89028121
United States of America,Richmond,35.0,11766,37.55001935,-77.449986
United States of America,San Antonio,25.0,8519,29.48733319,-98.50730534
United States of America,Baltimore,36.0,13692,39.29999005,-76.61998499
United States of America,Orlando,41.0,13717,28.50997683,-81.38003036
United States of America,Rochester,36.0,13660,44.02205324,-92.46968937
United States of America,Rochester,36.0,13660,43.17042564,-77.61994979
Canada,Vancouver,5.0,3722,49.27341658,-123.1216442
United States of America,Tampa,42.0,12453,27.94698793,-82.45862085
United States of America,Indianapolis,17.0,12321,39.74998842,-86.17004806
United States of America,Cleveland,38.0,11331,41.4699868,-81.69499821
United States of America,Cincinnati,29.0,11292,39.16188479,-84.45692265
United States of America,Springfield,31.0,10024,44.05194806,-122.9780339
United States of America,Springfield,31.0,10024,42.12002464,-72.57999903
United States of America,Springfield,31.0,10024,39.92000388,-83.799986
United States of America,Springfield,31.0,10024,39.82000999,-89.65001652
United States of America,Springfield,31.0,10024,37.18001609,-93.31999923
Canada,Calgary,12.0,3743,51.08299176,-114.0799982
United States of America,Raleigh,31.0,10630,35.81878135,-78.64469344
United States of America,Columbia,20.0,8902,35.61499534,-87.03526656
United States of America,Columbia,20.0,8902,38.95207847,-92.33390955
United States of America,Columbia,20.0,8902,34.0399752,-80.89998214
United States of America,Alexandria,20.0,11056,38.82043276,-77.09998153
United States of America,Alexandria,20.0,11056,31.31109784,-92.44501388
United States of America,Milwaukee,20.0,7344,43.05265505,-87.91996708
United States of America,Kansas City,17.0,5942,39.11358052,-94.63014638
United States of America,Kansas City,17.0,5942,39.10708851,-94.60409422
United States of America,Jacksonville,25.0,10536,34.75432436,-77.43055567
United States of America,Jacksonville,25.0,10536,30.33002077,-81.66998682
United States of America,Honolulu,16.0,4757,21.30687644,-157.8579979
United States of America,Nashville,14.0,6236,36.16997438,-86.77998499
