country,city,clicks,views
United States of America,Burlington,0.0,16
United States of America,Burlington,0.0,16
United States of America,Sanford,0.0,11
United States of America,Murfreesboro,0.0,36
United States of America,Pocatello,1.0,21
United States of America,Davenport,0.0,12
United States of America,New Haven,0.0,31
United States of America,San Mateo,0.0,55
United States of America,Annapolis,0.0,8
United States of America,Syracuse,0.0,51
United States of America,Lubbock,0.0,45
United States of America,Erie,0.0,20
United States of America,Spring Hill,0.0,50
United States of America,Clarksville,0.0,12
United States of America,Reno,0.0,41
United States of America,Albany,0.0,155
United States of America,Albany,0.0,155
United States of America,Albany,0.0,155
United States of America,Toledo,0.0,18
United States of America,Santa Barbara,0.0,62
United States of America,Harrisburg,0.0,10
United States of America,Roswell,0.0,24
United States of America,Bay City,0.0,12
United States of America,Bay City,0.0,12
Malaysia,Kuala Lumpur,0.0,26
United States of America,Lake City,0.0,58
United States of America,Dover,0.0,24
United States of America,Trenton,1.0,67
United States of America,Belleville,1.0,26
United States of America,New Braunfels,0.0,8
United States of America,Sioux Falls,0.0,8
United States of America,Helena,0.0,38
United States of America,Santa Rosa,0.0,41
United States of America,Eugene,0.0,62
United Kingdom,Nottingham,0.0,4
United States of America,Jonesboro,0.0,8
United States of America,Evanston,0.0,31
United States of America,Grants Pass,0.0,9
United States of America,Palm Springs,0.0,6
United States of America,Fredericksburg,0.0,16
United States of America,Frankfort,0.0,19
United States of America,Clarksburg,0.0,7
United States of America,Youngstown,0.0,17
Canada,Halifax,0.0,28
Canada,Kitchener,0.0,16
United States of America,Carson City,0.0,6
United States of America,New Bedford,0.0,24
United States of America,Bellingham,0.0,50
United States of America,Ithaca,0.0,6
United States of America,Denton,0.0,67
United States of America,Bend,0.0,11
United States of America,Little Rock,0.0,62
United States of America,Grand Island,0.0,1
United States of America,Covington,0.0,12
United States of America,Auburn,0.0,86
United States of America,Odessa,0.0,4
United States of America,Spartanburg,0.0,19
Indonesia,Jakarta,1.0,42
Philippines,Quezon City,1.0,29
United States of America,Bangor,0.0,6
United States of America,Lowell,0.0,24
United States of America,Rockford,0.0,9
France,Paris,0.0,21
United States of America,Chico,0.0,25
Australia,Sydney,0.0,23
United States of America,Jamestown,0.0,12
United States of America,Jamestown,0.0,12
United States of America,Monroe,2.0,50
United States of America,Muskegon,0.0,8
United States of America,Marion,0.0,24
United States of America,Lawrence,0.0,18
United States of America,Iowa City,0.0,22
United States of America,Astoria,0.0,26
United States of America,Akron,0.0,4
Barbados,Bridgetown,1.0,10
United States of America,Newport,0.0,10
United States of America,Gainesville,0.0,46
United States of America,Altoona,0.0,4
United States of America,Rapid City,0.0,21
United States of America,Pensacola,0.0,22
United States of America,Naples,0.0,10
United Kingdom,Birmingham,0.0,4
Canada,Moncton,0.0,10
United States of America,Melbourne,0.0,4
Canada,Nanaimo,0.0,6
United States of America,Racine,0.0,35
United States of America,York,0.0,19
United States of America,Roanoke,0.0,20
China,Beijing,0.0,18
United States of America,Augusta,0.0,18
United States of America,Augusta,0.0,18
United States of America,Clovis,0.0,25
United States of America,Midland,0.0,1
United States of America,Myrtle Beach,0.0,8
United States of America,Kingsport,0.0,11
United States of America,Ambler,0.0,4
United States of America,Titusville,0.0,4
United Arab Emirates,Dubai,0.0,42
Greece,Athens,0.0,12
United States of America,Ocala,0.0,12
United States of America,Hampton,0.0,6
United States of America,Utica,0.0,32
United States of America,La Crosse,0.0,4
United States of America,Winchester,0.0,42
Spain,Madrid,1.0,4
United States of America,Stillwater,0.0,43
United States of America,El Paso,0.0,63
United States of America,Miami Beach,0.0,10
United States of America,Cape Coral,0.0,4
United States of America,New Iberia,0.0,6
United States of America,Traverse City,0.0,8
United States of America,Paterson,0.0,4
Canada,Kelowna,0.0,6
United States of America,Lakeville,0.0,26
United States of America,Cheyenne,0.0,4
Canada,Regina,0.0,18
United States of America,Oceanside,0.0,31
Norway,Oslo,0.0,55
Canada,Kingston,0.0,14
United States of America,Morgantown,0.0,22
United States of America,Carlsbad,1.0,36
United States of America,Beaumont,0.0,19
United States of America,Dublin,0.0,16
Venezuela,Caracas,0.0,10
United States of America,Topeka,0.0,23
United States of America,Mankato,0.0,10
United Kingdom,Leicester,0.0,8
United States of America,Metairie,0.0,10
United States of America,Wichita Falls,0.0,18
United States of America,Hagerstown,1.0,16
United States of America,Janesville,0.0,14
United States of America,Abilene,0.0,4
United States of America,Danville,0.0,19
Australia,Melbourne,0.0,22
United States of America,Binghamton,0.0,6
United States of America,Worcester,0.0,6
Canada,Windsor,0.0,22
Canada,Windsor,0.0,22
United States of America,Pueblo,0.0,20
United States of America,Wausau,0.0,27
Dominican Republic,Santo Domingo,0.0,8
United States of America,Centralia,0.0,3
United States of America,Stockton,0.0,84
Belgium,Antwerpen,0.0,6
United States of America,Independence,0.0,10
United States of America,Monterey,0.0,18
Kenya,Nairobi,0.0,11
United States of America,Providence,0.0,148
United States of America,Missoula,0.0,63
Canada,Chilliwack,0.0,6
United States of America,Vallejo,0.0,4
United States of America,Longview,0.0,8
United States of America,Longview,0.0,8
Portugal,Lisbon,0.0,12
Australia,Canberra,0.0,6
Canada,Abbotsford,0.0,4
Puerto Rico,San Juan,0.0,23
United States of America,Grand Forks,0.0,8
China,Qingdao,0.0,12
United States of America,Killeen,0.0,8
United States of America,Fort Wayne,1.0,17
Spain,Granada,0.0,30
United States of America,Green Bay,0.0,4
United States of America,Hartford,0.0,4
Austria,Vienna,0.0,14
United States of America,Panama City,0.0,16
United States of America,Wheeling,0.0,12
United States of America,Manchester,0.0,8
United States of America,Eau Claire,0.0,30
Nigeria,Lagos,0.0,4
United States of America,Jefferson City,0.0,8
United States of America,Brunswick,0.0,39
United States of America,Salisbury,0.0,1
Thailand,Bangkok,0.0,53
United Kingdom,Norwich,0.0,4
United States of America,Poughkeepsie,0.0,4
United States of America,South Bend,0.0,4
United States of America,Meridian,0.0,8
Jamaica,Kingston,0.0,20
United States of America,Quincy,0.0,29
United States of America,Idaho Falls,0.0,33
United States of America,Lawton,0.0,12
United States of America,Montgomery,0.0,20
United States of America,Waterloo,0.0,4
United States of America,Crestview,0.0,4
Canada,Fredericton,0.0,4
United States of America,Sheboygan,0.0,4
United States of America,Aberdeen,0.0,13
United States of America,Aberdeen,0.0,13
United States of America,Provo,0.0,12
United States of America,Yakima,0.0,11
United States of America,Kokomo,0.0,8
United States of America,Harrisonburg,0.0,20
United States of America,Manhattan,0.0,22
United States of America,Shreveport,0.0,10
New Zealand,Whangarei,0.0,6
Australia,Adelaide,0.0,10
United States of America,Coral Gables,0.0,32
United States of America,Norman,0.0,34
United States of America,Lumberton,0.0,12
United States of America,New London,0.0,8
United States of America,Goldsboro,0.0,6
United States of America,Fort Smith,0.0,10
Saudi Arabia,Jeddah,0.0,8
United Kingdom,Edinburgh,0.0,10
Honduras,Tegucigalpa,0.0,4
United States of America,Kearney,0.0,4
Italy,Rome,0.0,6
India,Hyderabad,0.0,20
United States of America,Eagle,0.0,14
Canada,Lethbridge,0.0,6
United States of America,Macon,0.0,17
United States of America,Waukesha,0.0,4
United States of America,Freeport,0.0,6
United States of America,Corpus Christi,0.0,22
Norway,Lillehammer,0.0,4
United States of America,Johnson City,0.0,22
United States of America,Kingsville,0.0,6
United States of America,Kalispell,0.0,16
Egypt,Cairo,0.0,4
United States of America,Muncie,0.0,5
United States of America,Alpine,0.0,1
United States of America,Salinas,0.0,30
United States of America,Kissimmee,1.0,10
United States of America,Casper,0.0,12
United States of America,Conroe,0.0,14
United States of America,Elmira,0.0,19
United States of America,Hattiesburg,0.0,6
United States of America,Texarkana,0.0,4
United States of America,Minot,0.0,8
United States of America,Santa Maria,0.0,36
United States of America,Blacksburg,0.0,12
United States of America,Rock Hill,0.0,6
Taiwan,Taipei,0.0,17
United States of America,Madisonville,0.0,6
United States of America,Victorville,1.0,18
Canada,Cochrane,0.0,6
United States of America,Palmer,0.0,11
United States of America,Ontario,0.0,4
United States of America,Fort Collins,0.0,47
United States of America,La Grange,0.0,11
United States of America,Leesburg,0.0,4
Canada,Kamloops,0.0,10
United States of America,Corvallis,0.0,10
Brazil,Porto Alegre,0.0,4
United States of America,Kennewick,0.0,4
Finland,Helsinki,0.0,4
South Africa,Cape Town,0.0,8
United States of America,Salina,0.0,4
Germany,Hamburg,0.0,6
United States of America,Tulsa,0.0,46
United States of America,Durango,0.0,1
Japan,Osaka,0.0,12
United States of America,Dillon,0.0,12
United States of America,Billings,0.0,4
Australia,Perth,0.0,26
United States of America,Kingman,0.0,6
United States of America,Joplin,1.0,51
Japan,Kawasaki,0.0,6
United States of America,Fort Pierce,0.0,16
