id,value
entertainment,
entertainment.Actually,11479.0
entertainment.Happened,23694.0
entertainment.Kept,9826.0
entertainment.Like,12730.0
entertainment.Look,47153.0
entertainment.Looks,17872.0
entertainment.Mesmerizing,22916.0
entertainment.New,24058.0
entertainment.Police,9952.0
entertainment.Steven,11356.0
finance,
finance.Big,4006.0
finance.Born,2817.0
finance.Could,2074.0
finance.Debt,2297.0
finance.Home,3603.0
finance.Homeowners,2493.0
finance.New,4586.0
finance.Pay,2148.0
finance.Surprise,3555.0
finance.Win,4467.0
health,
health.Attack,2879.0
health.Cause,2857.0
health.Cost,3682.0
health.Every,4494.0
health.Fatigue,3067.0
health.Fix,3068.0
health.Heart,4377.0
health.Put,3204.0
health.Stages,4346.0
health.Watch,2893.0
home,
home.Actually,2955.0
home.Buy,1970.0
home.Claim,2940.0
home.Craftsman,2833.0
home.Furniture,2253.0
home.Neighbors,1890.0
home.Outraged,1881.0
home.See,2307.0
home.Site,3682.0
home.Tools,2940.0
sports,
sports.Allen,3185.0
sports.Bombshell,3036.0
sports.Colin,2215.0
sports.Court,3158.0
sports.Divorce,3158.0
sports.Dropped,3036.0
sports.Longer,1472.0
sports.Mom,2215.0
sports.Tongue,1472.0
sports.Wife,3052.0
