id,value
beauty,
beauty.Available,1167.0
beauty.Denture,1158.0
beauty.Like,936.0
beauty.Looks,934.0
beauty.Makeup,934.0
beauty.New,1305.0
beauty.Older,1021.0
beauty.Public,1167.0
beauty.Technology,1167.0
beauty.Women,934.0
entertainment,
entertainment.Actually,10344.0
entertainment.Barron,8477.0
entertainment.Happened,15332.0
entertainment.Kept,8057.0
entertainment.Like,7970.0
entertainment.Look,29482.0
entertainment.Looks,11030.0
entertainment.Mesmerizing,14382.0
entertainment.New,15244.0
entertainment.Spoiled,8472.0
health,
health.Attack,2420.0
health.Benefits,2340.0
health.Cause,2383.0
health.Death,2383.0
health.Every,3279.0
health.Heart,3963.0
health.Life,2314.0
health.Stages,3954.0
health.Us,2383.0
health.Watch,2417.0
home,
home.Actually,2439.0
home.Claim,2380.0
home.Craftsman,2282.0
home.Furniture,1009.0
home.Neighbors,1612.0
home.Outraged,1607.0
home.See,1031.0
home.Site,1496.0
home.Think,1607.0
home.Tools,2381.0
lifestyle,
lifestyle.Could,1035.0
lifestyle.Last,1506.0
lifestyle.Life,955.0
lifestyle.Mom,1487.0
lifestyle.Needs,1471.0
lifestyle.Outfits,1473.0
lifestyle.Sleeping,954.0
lifestyle.Stop,1479.0
lifestyle.Surprising,1715.0
lifestyle.Wearing,1459.0
