id,value
entertainment,
entertainment.Disastrous,4556.0
entertainment.Happened,3759.0
entertainment.Kept,2839.0
entertainment.Like,3789.0
entertainment.Look,4897.0
entertainment.Looks,4226.0
entertainment.Never,5161.0
entertainment.Photos,5438.0
entertainment.Today,2794.0
entertainment.Unsee,4577.0
fashion,
fashion.Brings,763.0
fashion.Hudson,763.0
fashion.Kate,763.0
fashion.New,791.0
fashion.Outfits,765.0
fashion.Shopping,405.0
fashion.Site,418.0
fashion.Women,599.0
fashion.Workout,768.0
fashion.Year,766.0
finance,
finance.Abandoned,421.0
finance.Acre,421.0
finance.Apple,422.0
finance.Base,421.0
finance.Born,413.0
finance.Leases,421.0
finance.Military,421.0
finance.New,1008.0
finance.Quietly,421.0
finance.Win,996.0
health,
health.Belly,1034.0
health.Cause,1327.0
health.Guess,765.0
health.Mistakes,1033.0
health.Problems,775.0
health.Root,829.0
health.Skin,962.0
health.Stomach,829.0
health.Weight,1057.0
health.Worst,1035.0
lifestyle,
lifestyle.Account,441.0
lifestyle.Cancelling,436.0
lifestyle.Cannot,607.0
lifestyle.Netflix,442.0
lifestyle.People,524.0
lifestyle.President,606.0
lifestyle.Surprising,606.0
lifestyle.Things,667.0
lifestyle.Us,606.0
lifestyle.Wait,365.0
